"","trait","snp_heritability","p_val"
"1","elevated_plus_maze_closedura",0.403094,0
"2","open_field_totaldistance",0.378991,0
"3","novelty_seeking_test_total_crossovers",0.365854,0
"4","elevated_plus_maze_centerdura",0.351924,0
"5","novelty_seeking_hab1_total_crossovers",0.349163,0
"6","open_field_cntrfreq",0.322676,0
"7","elevated_plus_maze_opendura",0.307855,0
"8","ccc_d2_total_dist",0.307741,0
"9","social_reinforcement_totalrf",0.305905,0
"10","open_field_dist2ctrtotal",0.299941,0
"11","delay_discounting_idpt600",0.298626,0
"12","delay_discounting_pc600",0.296047,0
"13","open_field_dist2ctrmean",0.295378,2.776e-16
"14","light_reinforcement_lr_active",0.290154,0
"15","elevated_plus_maze_totaldistance",0.289859,0
"16","locomotor_testing_maxdis",0.288307,0
"17","novel_object_totaldistance",0.287228,0
"18","locomotor_testing_distance",0.286449,0
"19","open_field_cntrdurat",0.284221,3.684e-12
"20","locomotor_testing_rear",0.284068,0
"21","locomotor_testing_dis1_5",0.281181,0
"22","social_interaction_totaldistance",0.280762,0
"23","light_reinforcement_lr_total",0.278759,0
"24","delay_discounting_idptmax",0.275518,0
"25","social_interaction_insoczonedura",0.275358,0
"26","novelty_seeking_test_total_velocity",0.274206,2.22e-16
"27","novelty_seeking_hab1_total_velocity",0.269195,2.776e-16
"28","light_reinforcement_lr_reinforcers",0.267409,0
"29","delay_discounting_pc0",0.267092,0
"30","delay_discounting_idpt0",0.266108,0
"31","social_interaction_dist2soctotal",0.265108,5.551e-17
"32","social_interaction_dist2socmean",0.264836,1.11e-16
"33","delay_discounting_pcratemax",0.26427,0
"34","novelty_seeking_hab2_total_crossovers",0.263796,0
"35","delay_discounting_pcrate0",0.260993,0
"36","delay_discounting_pcrate600",0.256123,0
"37","ccc_d8_total_dist",0.255185,5.551e-17
"38","ccc_d1_total_dist",0.250173,1.11e-16
"39","light_reinforcement_lr_act4_5",0.248839,0
"40","novel_object_dist2ctrmean",0.24882,1.316e-13
"41","novelty_seeking_test_total_distance",0.248276,1.532e-13
"42","delay_discounting_rfrateav",0.248246,0
"43","novel_object_cntrdurat",0.247253,2.683e-13
"44","delay_discounting_tip0",0.245887,0
"45","pavca_MI_d1_lever_cs",0.245347,0
"46","locomotor_testing_activity",0.243238,0
"47","delay_discounting_tip600",0.241238,0
"48","novelty_seeking_hab1_total_distance",0.239133,3.838e-13
"49","social_reinforcement_opconrs",0.235886,8.049e-15
"50","pavca_MI_d1_prob_lev",0.235538,0
"51","social_reinforcement_socialrf",0.230588,1.501e-12
"52","elevated_plus_maze_openfreq",0.229446,8.316e-14
"53","social_reinforcement_midconrf",0.228138,9.641e-13
"54","pavca_MI_d1_avg_lev_lat",0.224556,0
"55","social_reinforcement_opconrf",0.223906,1.979e-12
"56","social_reinforcement_totalrs",0.222952,2.532e-12
"57","novelty_seeking_hab2_total_velocity",0.221433,1.107e-13
"58","delay_discounting_idpt1800",0.22089,5.551e-17
"59","novel_object_dist2ctrtotal",0.220766,1.65e-12
"60","social_reinforcement_totalti",0.220681,2.787e-14
"61","elevated_plus_maze_closefreq",0.22056,4.33e-15
"62","elevated_plus_maze_centerfreq",0.220247,2.994e-12
"63","light_reinforcement_lr_act1_5",0.219517,0
"64","novelty_seeking_hab2_total_distance",0.218769,2.52e-12
"65","delay_discounting_wrate0",0.218549,1.11e-16
"66","light_reinforcement_lr_act7_5",0.217635,0
"67","reaction_time_meanrt",0.216843,0
"68","social_interaction_insoczonefreq",0.21487,0
"69","light_reinforcement_lr_tot16_5",0.211412,0
"70","social_reinforcement_midconti",0.210064,1.42e-11
"71","light_reinforcement_lr_act_max",0.209758,1.11e-16
"72","light_reinforcement_pre_total",0.209371,5.551e-17
"73","locomotor_testing_dis10_5",0.208995,1.665e-16
"74","novel_object_cntrfreq",0.208963,6.542e-12
"75","reaction_time_trials_max",0.207291,1.11e-16
"76","delay_discounting_sess0",0.207251,1.554e-15
"77","light_reinforcement_lr_act10_5",0.204041,5.551e-17
"78","reaction_time_medrt",0.203394,0
"79","light_reinforcement_lr_tot7_5",0.202389,5.551e-17
"80","reaction_time_peropfalsealarm",0.20226,0
"81","light_reinforcement_lr_act16_5",0.202022,1.11e-16
"82","crf_MI_active_responses",0.201993,5.551e-16
"83","reaction_time_falsealarm",0.200653,1.665e-16
"84","light_reinforcement_lr_tot1_5",0.200252,5.551e-16
"85","reaction_time_corr",0.199426,5.551e-17
"86","reaction_time_leftcorr",0.199426,5.551e-17
"87","light_reinforcement_lr_tot_max",0.198754,6.661e-16
"88","crf_MI_lever_presses",0.198411,0
"89","delay_discounting_pc1800",0.198238,1.776e-15
"90","light_reinforcement_lr_tot4_5",0.198226,3.886e-16
"91","reaction_time_pint4_5",0.198163,1.332e-15
"92","reaction_time_pinit_max",0.197856,4.829e-15
"93","reaction_time_pinit",0.196187,2.776e-16
"94","delay_discounting_pcd0",0.19513,7.775e-13
"95","delay_discounting_rf600",0.194778,3.031e-14
"96","locomotor_testing_act10_5",0.19409,1.721e-15
"97","reaction_time_totaltrials",0.193572,4.441e-16
"98","reaction_time_lefttrials",0.193572,4.441e-16
"99","delay_discounting_pcrate1200",0.192374,1.218e-13
"100","delay_discounting_pcrate1800",0.190808,1.024e-13
"101","reaction_time_sdrt",0.190345,8.443e-14
"102","reaction_time_meanrt_max",0.190335,7.994e-15
"103","locomotor_testing_maxact",0.188625,8.66e-14
"104","delay_discounting_tip1200",0.188197,6.234e-14
"105","delay_discounting_pc1200",0.187829,1.747e-13
"106","social_reinforcement_socialti",0.187044,1.778e-09
"107","locomotor_testing_rear7_5",0.185623,1.46e-14
"108","light_reinforcement_lr_tot10_5",0.185411,5.218e-15
"109","locomotor_testing_dis4_5",0.184595,1.388e-15
"110","delay_discounting_rfrate1800",0.183894,3.004e-12
"111","reaction_time_trials4_5",0.183163,1.943e-14
"112","social_reinforcement_midconrs",0.183131,1.125e-08
"113","delay_discounting_tip1800",0.182648,5.662e-15
"114","locomotor_testing_dis7_5",0.180937,2.484e-13
"115","reaction_time_trials7_5",0.180418,6.726e-13
"116","reaction_time_falsealarm_max",0.179924,1.471e-14
"117","pavca_MI_d1_response_bias",0.17933,7.216e-16
"118","reaction_time_meanrt1_5",0.179053,2.645e-13
"119","delay_discounting_wrate1800",0.177772,1.8e-11
"120","social_interaction_inobjzonefreq",0.177477,3.232e-11
"121","social_reinforcement_totalti_10_5",0.177377,4.445e-09
"122","light_reinforcement_pre_inactive",0.176055,8.094e-14
"123","social_reinforcement_totalrs_7_5",0.175355,1.46e-08
"124","social_reinforcement_opconrs_16_5",0.175145,2.484e-09
"125","light_reinforcement_lr_tot13_5",0.174879,7.772e-16
"126","social_reinforcement_totalti_max",0.174351,2.158e-10
"127","locomotor_testing_rear10_5",0.173878,2.559e-14
"128","reaction_time_meanrt7_5",0.173528,4.033e-13
"129","reaction_time_pint7_5",0.172787,5.629e-14
"130","social_reinforcement_totalrs_16_5",0.172666,1.871e-08
"131","delay_discounting_idpt2400",0.172188,2.203e-11
"132","locomotor_testing_rear4_5",0.171671,1.499e-15
"133","ccp_trial_2_saline_dist_mm",0.171504,1.5e-12
"134","pavca_MI_d2_prob_lev",0.171283,1.277e-15
"135","delay_discounting_rfrate2400",0.17078,1.297e-10
"136","reaction_time_peropinit",0.17068,7.805e-13
"137","delay_discounting_wrate600",0.170572,1.585e-11
"138","locomotor_testing_act7_5",0.170135,1.769e-11
"139","delay_discounting_rf1800",0.169976,9.463e-12
"140","delay_discounting_rfrate0",0.169432,1.241e-11
"141","social_reinforcement_opconti",0.169426,2.949e-09
"142","pavca_MI_d2_lever_cs",0.168825,1.332e-15
"143","reaction_time_falsealarm1_5",0.168391,2.996e-13
"144","delay_discounting_idpt1200",0.16776,8.507e-13
"145","pavca_MI_d1_magazine_ncs",0.167752,3.361e-10
"146","social_reinforcement_totalrs_10_5",0.167533,4.545e-08
"147","reaction_time_meanrt16_5",0.167156,5.903e-11
"148","reaction_time_meanrt4_5",0.166113,1.206e-11
"149","light_reinforcement_pre_active",0.166057,4.863e-12
"150","delay_discounting_rf0",0.165867,2.473e-13
"151","pavca_MI_d5_prob_lev",0.16573,1.221e-15
"152","ccp_trial_1_saline_dist_mm",0.164839,2.936e-11
"153","social_interaction_dist2objzonemean",0.164809,3.067e-08
"154","ccc_d7_total_dist",0.164061,4.361e-09
"155","social_reinforcement_socialrs",0.163231,6.886e-08
"156","reaction_time_medrt_max",0.163169,1.699e-12
"157","social_reinforcement_midconti_max",0.162464,1.617e-07
"158","reaction_time_pofalsealarm1_5",0.161719,3.075e-13
"159","pavca_MI_d5_lever_cs",0.161527,2.393e-14
"160","reaction_time_popint4_5",0.161485,5.406e-11
"161","social_interaction_inobjzonedura",0.160665,6.95e-08
"162","reaction_time_medianrt1_5",0.160454,5.987e-12
"163","reaction_time_pint13_5",0.159922,5.177e-12
"164","delay_discounting_rf2400",0.159008,6.64e-11
"165","light_reinforcement_lr_act13_5",0.158354,6.622e-13
"166","delay_discounting_rfrate1200",0.156202,4.506e-11
"167","light_reinforcement_lr_inactive",0.155486,5.551e-14
"168","pavca_MI_LeverCS_D4D5",0.155438,4.138e-13
"169","reaction_time_medianrt7_5",0.15526,2.185e-12
"170","reaction_time_pint16_5",0.154716,2.199e-12
"171","delay_discounting_sess600",0.154319,4.13e-10
"172","crf_MI_incentive_value_index",0.153857,4.883e-11
"173","reaction_time_popint7_5",0.153304,1.028e-11
"174","locomotor_testing_act4_5",0.153244,1.419e-11
"175","social_interaction_dist2objzonetotal",0.153039,2.689e-07
"176","reaction_time_medianrt16_5",0.153025,2.025e-10
"177","reaction_time_pofalsealarm7_5",0.152268,7.756e-12
"178","reaction_time_medianrt4_5",0.152169,3.37e-11
"179","pavca_MI_LatencyScore_D4D5",0.151759,3.912e-12
"180","delay_discounting_wrate1200",0.151702,6.013e-10
"181","pavca_MI_d3_prob_lev",0.15129,1.879e-12
"182","reaction_time_meanrt10_5",0.150515,6.627e-11
"183","delay_discounting_tipmax",0.149951,1.258e-10
"184","pavca_MI_d3_lever_cs",0.149689,9.537e-12
"185","crf_MI_inactive_responses",0.149277,4.657e-09
"186","reaction_time_popint1_5",0.149196,3.188e-10
"187","social_reinforcement_opconrs_7_5",0.14813,4.02e-07
"188","reaction_time_falsealarm7_5",0.148126,7.207e-11
"189","reaction_time_popint10_5",0.147467,6.232e-10
"190","reaction_time_medianrt10_5",0.147164,1.228e-10
"191","locomotor_testing_center_loco",0.1468,1.407e-10
"192","ccc_d2_avg_vel",0.146212,2.335e-08
"193","social_reinforcement_socialrs_16_5",0.145914,1.039e-06
"194","pavca_MI_IndexScore_D4D5",0.145372,4.376e-11
"195","reaction_time_peropfalsealarm_max",0.145279,1.159e-10
"196","pavca_MI_ProbLever_D4D5",0.144759,1.987e-11
"197","reaction_time_devmedrt",0.144743,1.082e-09
"198","locomotor_testing_act16_5",0.144508,1.195e-09
"199","reaction_time_falsealarm13_5",0.14401,7.202e-10
"200","reaction_time_falsealarm_slope",0.143884,1.088e-09
"201","light_reinforcement_pre_tot13_5",0.142971,6.189e-10
"202","pavca_MI_d2_avg_lev_lat",0.142771,2.332e-11
"203","pavca_MI_MagazineNCS_D4D5",0.142562,2.216e-08
"204","social_interaction_insoczonelate",0.14232,4.625e-09
"205","pavca_MI_ProbDiff_D4D5",0.142254,9.63e-11
"206","pavca_MI_d4_prob_lev",0.142127,8.573e-12
"207","pavca_MI_d5_latency_score",0.140862,2.153e-11
"208","pavca_MI_d5_avg_lev_lat",0.140766,1.068e-10
"209","reaction_time_trials1_5",0.140519,6.053e-10
"210","delay_discounting_pcrate2400",0.140322,1.205e-08
"211","reaction_time_pofalsealarm4_5",0.140263,1.576e-09
"212","locomotor_testing_act1_5",0.139971,5.359e-09
"213","reaction_time_pinit_slope",0.139278,1.051e-08
"214","light_reinforcement_lr_relactive",0.139275,7.618e-10
"215","locomotor_testing_dis16_5",0.138555,1.576e-08
"216","pavca_MI_d2_response_bias",0.138426,5.844e-11
"217","social_reinforcement_opconrs_10_5",0.138329,1.069e-06
"218","pavca_MI_d4_latency_score",0.137843,2.593e-10
"219","light_reinforcement_pre_tot1_5",0.137563,4.206e-10
"220","social_reinforcement_opconrs_13_5",0.137268,3.971e-07
"221","social_reinforcement_opconrs_max",0.137011,1.015e-06
"222","social_reinforcement_totalti_16_5",0.136871,1.958e-06
"223","reaction_time_pint1_5",0.136833,7.206e-09
"224","pavca_MI_AvgLatLev_D4D5",0.136708,3.215e-10
"225","reaction_time_peropinit_max",0.136443,2.394e-09
"226","social_reinforcement_totalrs_13_5",0.135126,1.715e-07
"227","locomotor_testing_act13_5",0.135079,1.546e-08
"228","locomotor_testing_dis13_5",0.134622,2.873e-08
"229","ccc_d7_total_hw_dur",0.134483,1.585e-07
"230","pavca_MI_d1_index",0.134364,3.853e-10
"231","reaction_time_pint10_5",0.134155,3.775e-10
"232","reaction_time_trials_slope",0.134039,2.208e-09
"233","delay_discounting_wrate2400",0.133781,4.44e-08
